# 14


01
Impressionist	인상파 화가[예술가]
surface	표면
extensive	광활한
wilderness	황량한 지역, 황무지
groundwater	지하수
atmosphere	대기

# 22


01
demographics	인구 통계
fabric	구조
consideration	고려 사항
appealing	매력적인
equate	동일시하다
efficiency	효율성
solar panel	태양 전지판
countertop	조리대 상판
property	부동산

02
underlying	근본적인
charged	격론을 불러일으키는
divisive	분열을 초래하는
racism	인종 차별
disproportionate	불균형적인
impact	영향
accommodate	수용하다

03
charismatic	카리스마 넘치는
overfish	물고기를 남획하다
endangered	멸종 위기에 처한
conscious	의식하는
celebrity	유명인
stardom	스타덤, 스타의 지위[신분]
conservation	보존

# 23


01
specific	특정한
extent	정도
adaptation	적응 (형태)
predator	포식자
compact	작은, 소형의
body plan	몸의 구조
omnivore	잡식성 동물

02
crawl about	이리저리 기어다니다
sucker-covered	빨판으로 덮인
refuge	피신, 도피
deposit	놓다, 두다
inedible	먹을 수 없는
tend	돌보다
emerge	나오다, 모습을 드러내다

03
minute	미세한
angle	각도
magnify	크게 하다, 확대하다
a fraction of a second	순식간
arrangement	배열
variation	변화

# 24


01	
spectator	관중, 관객
drive	추동, 동인
arousal	각성, 환기
heighten	고조시키다
presume	추정하다, 간주하다
facilitate	용이하게 하다
interfere with	~을 방해하다
emission	방출
dominant	지배적인
stand to do	~할 것이다
abundance	다수, 과다
onlooker	관중, 구경꾼

02
athlete	운동선수
nutrient	영양소, 영양분
macronutrient	다량 영양소
optimally	최적으로
sufficient	충분한
composition	구성
concentration	농도
work up	~을 북돋우다, 불러일으키다

03
recognize	인식하다
comfort	편안함
satisfaction	만족감
transition	변화
dip pen	잉크를 찍어 쓰는 펜
lend	(어떤 특징을) 부여하다
